abimé,damaged
abimer,to damage
abonné   ,leave
abonnement  ,subscription
s'abonner ,to subscribe
abrégé   ,abbridged
version abrégée  ,abridged version
abréviation  ,abbreviation
accéder aux documents ,access the documents
accès   ,access 
avoir accès à  ,to have access to
accès aux handicapés  ,disabled access
acquisition  ,aquisition
accueil   ,reception desk
actes  ,proceedings
d'actualité  ,topical
actualités  ,news
adapté à  ,suitable for
adhérent  ,member
adhésion   ,membership 
admissible  ,allowable
adresse,address
affiche   ,poster
afficher  ,to display
affiner une recherche  ,to narrow a research
agent de sécurité ,security guard
agrandir  ,to enlarge
aide   ,help
aide à l’utilisateur ,user orientation
ailleurs  ,elsewhere
amende/contravention  ,fine
analphabétisme  ,illiteracy
annuel  ,yearly
annulation  ,cancellation
annuler   ,to cancel
anonyme  ,anonymous
congrès,congress
connexion,connection
conseil,advice
conseiller,to advice
conserver,to keep
contrat,contract
couverture,cover
critique (adj),critical
critique (n),review
culture générale,general knowledge
culturel,cultural
curseur,cursor
débat,debate
débrancher (un appareil),to unplug
début,beginning
débutant,beginner
déclassé,out of order
défaut,defect
délégué,delegate
demande,request
dépasser,to exceed
dernier,last
desherbage,weeding 
dessin#,drawing
dessins animés,cartoon
détérioration,damage
détérioré,damaged
diapositive,slide
dictionnaire,dictionary
dièse (caractère),hash key
différer,to postpone
diffuser,to broadcast
diffusion,broadcasting
dimension,size
diminuer,to decrease
diplômé,graduate
directeur,head
directive,guidelines 
diriger,to manage
disponibilité,availability
talent,gift
dossier,file
drapeau,flag
"droit,justice",law
droite,right
échange,exchange
écran,screen
écrit,written
écrit à la main,handwritten
écriture,writing
éditer,to publish
emprunter,to borrow
en face de ,opposite of
enquête,survey
enregistrement,recording
entreprise,company
à l'enver,supside down
épuisé,out of print
équipement,equipment
étage,floor
étagère,shelf
étranger,foreigner
étroit,narrow
étude,study
étudier,to study
événement,event
éviter,to avoid
exemplaire,copy
exercice,exercise
explicatif,explanatory
explication,explanation
expliquer,to explain
exposé,statement
exposer,to exhibit
exposition,exhibition
extension,plug-in
extincteur,fire extinguisher
extrait,extract
facture,invoice
fantôme,dummy
faute,fault
faute de frappe,typing error
fauteuil,seat
fauteuil roulant,wheelchair
fenêtre,window
fermer,to close
fermeture,closing
fin,end
flèche,arrow
fond,background
formation,training
fort (bruit),loud
gallois,welsh
gamme,range
garantie,guarantee
gardien,security guard
gaspillage,waste
gauche,left
gérer,to manage
gestion,management
glossaire,glossary
gomme,rubber
gratuit,free
grève,strike
habitude,habit
habituellement,usually
handicapé,disabled
harmoniser,to harmonize
haussede,in rise
Haut-parleur,loudspeaker
hauteur,height
hebdomadaire (adj),weekly
heure,hour
histoire,story
hommage,tribute
horloge,clock
hors service,out of order
illégal,illegal
illettré,illiterate
illettrisme,illiteracy
llisible,illegible
illogique,illogical
illustration,illustration
illustré,illustrated
illustrer,to illustrate
image,picture
impression,printing
imprimante,printer
imprimer,to print 
inachevé,unfinished
inchangé,unchanged
inclure,to include
incohérent,inconsistent
incomplet,incomplete
incorrect,false
inédit,unpublished
inégal,uneven
inexact,wrong
inférieur à,less than
infirme,disabled
insérer,to insert
insonore,soundproof
intégral,unabridged
interactif,interactive
interactivité,interactivity
interdiction,prohibition
interdire,to ban
interdit,forbidden
intéressant,interesting
intérêt,interest
interface,interface
intermédiaire,intermediate
internaute,cybernaut
inutile,useless
inutilisé,unused 
inventaire,inventory
irrégulier,irregular
jaune,yellow
jeter,to throw
jeune,young
jeunesse,youth
journal,newspaper
journalier,daily
journalisme,journalism
journaliste,journalist
journaux,press
journée de repos,day off
jugement,judgement
juger,to judge
justifier,to justify
largeur,width
lecteur,reader
lecture,reading
légal,legal
lentille,lens
lettre,letter
libraire,bookseller
librairie,bookshop
libre,free
lien,link
lieu,place
ligne,line
limite,limit
linéaire,linear
linguiste,linguist
lire,to read
lisibilité,readability
lisible,readable
lisiblement,legibly
liste,list
liste d’attente,waiting list
livraison,delivery
livre,book
livrer,to deliver
logiciel,software
longueur,ength
magnétique,magnetic
manifestation,event
matériel,equipment
mélanger,to mix
membre,member
mémoire,memory
mensuel,monthly
mettre à jour,to update
mettre au point,to adjust
mettre en garde,to caution
mettre en marche,to turn on
mettre en mémoire(ordinateur),to store
mettre en page,to layou
mettre en route,to start
mettre entre parenthèses,to bracket
mis à jour,updated
mise en forme,formating
mise en mémoire,storage
mise en page,layout
mission,mission
mode d’emploi,directions for use
modèle,model
montant (somme),amount
montrer,to show
mot,word
mot de passe,password
Mot-clé,key word
moteur de recherche,search engine
Mots-croisés,crossword
moyen,medium
moyenne,average
musique,music
